Round,Date, Teama,FThome,FTaway,HThome,HTaway,,Teamb,1,2,Description
26,(Sat) 3 Feb 2018 (5),Manchester City FC,1,1,0,1,,Burnley FC,Burnley FC,Manchester City FC,Burnley FC  Vs. Manchester City FC
26,(Sat) 3 Feb 2018 (5),Swansea City AFC,1,1,1,0,,Leicester City FC,Leicester City FC,Swansea City AFC,Leicester City FC  Vs. Swansea City AFC
26,(Sat) 3 Feb 2018 (5),Huddersfield Town AFC,2,0,0,0,,Manchester United FC,Manchester United FC,Huddersfield Town AFC,Manchester United FC  Vs. Huddersfield Town AFC
26,(Sat) 3 Feb 2018 (5),Southampton FC,2,3,1,2,,West Bromwich Albion FC,West Bromwich Albion FC,Southampton FC,West Bromwich Albion FC  Vs. Southampton FC
26,(Sun) 4 Feb 2018 (5),Newcastle United FC,1,1,0,1,,Crystal Palace FC,Crystal Palace FC,Newcastle United FC,Crystal Palace FC  Vs. Newcastle United FC
26,(Sun) 4 Feb 2018 (5),Tottenham Hotspur FC,2,2,1,0,,Liverpool FC,Liverpool FC,Tottenham Hotspur FC,Liverpool FC  Vs. Tottenham Hotspur FC
26,(Mon) 5 Feb 2018 (6),Chelsea FC,4,1,1,0,,Watford FC,Watford FC,Chelsea FC,Watford FC  Vs. Chelsea FC
27,(Sat) 10 Feb 2018 (6),Crystal Palace FC,3,1,0,0,,Everton FC,Everton FC,Crystal Palace FC,Everton FC  Vs. Crystal Palace FC
27,(Sat) 10 Feb 2018 (6),Leicester City FC,5,1,1,1,,Manchester City FC,Manchester City FC,Leicester City FC,Manchester City FC  Vs. Leicester City FC
27,(Sat) 10 Feb 2018 (6),Brighton & Hove Albion FC,1,1,0,1,,Stoke City FC,Stoke City FC,Brighton & Hove Albion FC,Stoke City FC  Vs. Brighton & Hove Albion FC
27,(Sat) 10 Feb 2018 (6),Burnley FC,1,0,0,0,,Swansea City AFC,Swansea City AFC,Burnley FC,Swansea City AFC  Vs. Burnley FC
27,(Sat) 10 Feb 2018 (6),Arsenal FC,1,0,0,0,,Tottenham Hotspur FC,Tottenham Hotspur FC,Arsenal FC,Tottenham Hotspur FC  Vs. Arsenal FC
27,(Sat) 10 Feb 2018 (6),Watford FC,2,0,1,0,,West Ham United FC,West Ham United FC,Watford FC,West Ham United FC  Vs. Watford FC
27,(Sun) 11 Feb 2018 (6),AFC Bournemouth,4,1,2,1,,Huddersfield Town AFC,Huddersfield Town AFC,AFC Bournemouth,Huddersfield Town AFC  Vs. AFC Bournemouth
27,(Sun) 11 Feb 2018 (6),Manchester United FC,1,0,0,0,,Newcastle United FC,Newcastle United FC,Manchester United FC,Newcastle United FC  Vs. Manchester United FC
27,(Sun) 11 Feb 2018 (6),Liverpool FC,0,2,0,2,,Southampton FC,Southampton FC,Liverpool FC,Southampton FC  Vs. Liverpool FC
27,(Mon) 12 Feb 2018 (7),West Bromwich Albion FC,3,0,1,0,,Chelsea FC,Chelsea FC,West Bromwich Albion FC,Chelsea FC  Vs. West Bromwich Albion FC
28,(Sat) 24 Feb 2018 (8),Newcastle United FC,2,2,0,2,,AFC Bournemouth,AFC Bournemouth,Newcastle United FC,AFC Bournemouth  Vs. Newcastle United FC
28,(Sat) 24 Feb 2018 (8),Swansea City AFC,4,1,1,0,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Swansea City AFC,Brighton & Hove Albion FC  Vs. Swansea City AFC
28,(Sat) 24 Feb 2018 (8),Southampton FC,1,1,0,0,,Burnley FC,Burnley FC,Southampton FC,Burnley FC  Vs. Southampton FC
28,(Sat) 24 Feb 2018 (8),Stoke City FC,1,1,0,1,,Leicester City FC,Leicester City FC,Stoke City FC,Leicester City FC  Vs. Stoke City FC
28,(Sat) 24 Feb 2018 (8),West Ham United FC,4,1,1,0,,Liverpool FC,Liverpool FC,West Ham United FC,Liverpool FC  Vs. West Ham United FC
28,(Sat) 24 Feb 2018 (8),Everton FC,1,0,0,0,,Watford FC,Watford FC,Everton FC,Watford FC  Vs. Everton FC
28,(Sat) 24 Feb 2018 (8),Huddersfield Town AFC,1,2,0,0,,West Bromwich Albion FC,West Bromwich Albion FC,Huddersfield Town AFC,West Bromwich Albion FC  Vs. Huddersfield Town AFC
28,(Sun) 25 Feb 2018 (8),Tottenham Hotspur FC,0,1,0,0,,Crystal Palace FC,Crystal Palace FC,Tottenham Hotspur FC,Crystal Palace FC  Vs. Tottenham Hotspur FC
28,(Sun) 25 Feb 2018 (8),Chelsea FC,2,1,1,1,,Manchester United FC,Manchester United FC,Chelsea FC,Manchester United FC  Vs. Chelsea FC
28,(Thu) 1 Mar 2018 (9),Manchester City FC,0,3,0,3,,Arsenal FC,Arsenal FC,Manchester City FC,Arsenal FC  Vs. Manchester City FC
29,(Sat) 3 Mar 2018 (9),Everton FC,2,1,0,1,,Burnley FC,Burnley FC,Everton FC,Burnley FC  Vs. Everton FC
29,(Sat) 3 Mar 2018 (9),AFC Bournemouth,1,1,0,1,,Leicester City FC,Leicester City FC,AFC Bournemouth,Leicester City FC  Vs. AFC Bournemouth
29,(Sat) 3 Mar 2018 (9),Newcastle United FC,2,0,1,0,,Liverpool FC,Liverpool FC,Newcastle United FC,Liverpool FC  Vs. Newcastle United FC
29,(Sat) 3 Mar 2018 (9),Stoke City FC,0,0,0,0,,Southampton FC,Southampton FC,Stoke City FC,Southampton FC  Vs. Stoke City FC
29,(Sat) 3 Mar 2018 (9),West Ham United FC,4,1,2,0,,Swansea City AFC,Swansea City AFC,West Ham United FC,Swansea City AFC  Vs. West Ham United FC
29,(Sat) 3 Mar 2018 (9),Huddersfield Town AFC,2,0,1,0,,Tottenham Hotspur FC,Tottenham Hotspur FC,Huddersfield Town AFC,Tottenham Hotspur FC  Vs. Huddersfield Town AFC
29,(Sat) 3 Mar 2018 (9),West Bromwich Albion FC,1,0,0,0,,Watford FC,Watford FC,West Bromwich Albion FC,Watford FC  Vs. West Bromwich Albion FC
29,(Sun) 4 Mar 2018 (9),Arsenal FC,2,1,2,1,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Arsenal FC,Brighton & Hove Albion FC  Vs. Arsenal FC
29,(Sun) 4 Mar 2018 (9),Chelsea FC,1,0,0,0,,Manchester City FC,Manchester City FC,Chelsea FC,Manchester City FC  Vs. Chelsea FC
29,(Mon) 5 Mar 2018 (10),Manchester United FC,2,3,1,0,,Crystal Palace FC,Crystal Palace FC,Manchester United FC,Crystal Palace FC  Vs. Manchester United FC
30,(Sat) 10 Mar 2018 (10),Crystal Palace FC,2,1,2,0,,Chelsea FC,Chelsea FC,Crystal Palace FC,Chelsea FC  Vs. Crystal Palace FC
30,(Sat) 10 Mar 2018 (10),Brighton & Hove Albion FC,2,0,0,0,,Everton FC,Everton FC,Brighton & Hove Albion FC,Everton FC  Vs. Brighton & Hove Albion FC
30,(Sat) 10 Mar 2018 (10),Swansea City AFC,0,0,0,0,,Huddersfield Town AFC,Huddersfield Town AFC,Swansea City AFC,Huddersfield Town AFC  Vs. Swansea City AFC
30,(Sat) 10 Mar 2018 (10),Liverpool FC,2,1,2,0,,Manchester United FC,Manchester United FC,Liverpool FC,Manchester United FC  Vs. Liverpool FC
30,(Sat) 10 Mar 2018 (10),Southampton FC,3,0,2,0,,Newcastle United FC,Newcastle United FC,Southampton FC,Newcastle United FC  Vs. Southampton FC
30,(Sat) 10 Mar 2018 (10),Leicester City FC,1,4,1,1,,West Bromwich Albion FC,West Bromwich Albion FC,Leicester City FC,West Bromwich Albion FC  Vs. Leicester City FC
30,(Sat) 10 Mar 2018 (10),Burnley FC,0,3,0,0,,West Ham United FC,West Ham United FC,Burnley FC,West Ham United FC  Vs. Burnley FC
30,(Sun) 11 Mar 2018 (10),Watford FC,3,0,1,0,,Arsenal FC,Arsenal FC,Watford FC,Arsenal FC  Vs. Watford FC
30,(Sun) 11 Mar 2018 (10),Tottenham Hotspur FC,1,4,1,1,,AFC Bournemouth,AFC Bournemouth,Tottenham Hotspur FC,AFC Bournemouth  Vs. Tottenham Hotspur FC
30,(Mon) 12 Mar 2018 (11),Manchester City FC,0,2,0,1,,Stoke City FC,Stoke City FC,Manchester City FC,Stoke City FC  Vs. Manchester City FC
31,(Sat) 17 Mar 2018 (11),West Bromwich Albion FC,2,1,0,0,,AFC Bournemouth,AFC Bournemouth,West Bromwich Albion FC,AFC Bournemouth  Vs. West Bromwich Albion FC
31,(Sat) 17 Mar 2018 (11),Crystal Palace FC,0,2,0,1,,Huddersfield Town AFC,Huddersfield Town AFC,Crystal Palace FC,Huddersfield Town AFC  Vs. Crystal Palace FC
31,(Sat) 17 Mar 2018 (11),Watford FC,5,0,2,0,,Liverpool FC,Liverpool FC,Watford FC,Liverpool FC  Vs. Watford FC
31,(Sat) 17 Mar 2018 (11),Everton FC,0,1,0,0,,Stoke City FC,Stoke City FC,Everton FC,Stoke City FC  Vs. Everton FC
31,(Sat) 31 Mar 2018 (13),Leicester City FC,0,2,0,0,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Leicester City FC,Brighton & Hove Albion FC  Vs. Leicester City FC
31,(Sat) 31 Mar 2018 (13),Liverpool FC,1,2,1,0,,Crystal Palace FC,Crystal Palace FC,Liverpool FC,Crystal Palace FC  Vs. Liverpool FC
31,(Sat) 31 Mar 2018 (13),Manchester City FC,1,3,0,3,,Everton FC,Everton FC,Manchester City FC,Everton FC  Vs. Manchester City FC
31,(Sat) 31 Mar 2018 (13),Swansea City AFC,2,0,2,0,,Manchester United FC,Manchester United FC,Swansea City AFC,Manchester United FC  Vs. Swansea City AFC
31,(Sat) 31 Mar 2018 (13),Huddersfield Town AFC,1,0,0,0,,Newcastle United FC,Newcastle United FC,Huddersfield Town AFC,Newcastle United FC  Vs. Huddersfield Town AFC
31,(Sat) 31 Mar 2018 (13),AFC Bournemouth,2,2,1,1,,Watford FC,Watford FC,AFC Bournemouth,Watford FC  Vs. AFC Bournemouth
31,(Sat) 31 Mar 2018 (13),Burnley FC,1,2,0,1,,West Bromwich Albion FC,West Bromwich Albion FC,Burnley FC,West Bromwich Albion FC  Vs. Burnley FC
31,(Sat) 31 Mar 2018 (13),Southampton FC,3,0,3,0,,West Ham United FC,West Ham United FC,Southampton FC,West Ham United FC  Vs. Southampton FC
31,(Sun) 1 Apr 2018 (13),Stoke City FC,3,0,0,0,,Arsenal FC,Arsenal FC,Stoke City FC,Arsenal FC  Vs. Stoke City FC
31,(Sun) 1 Apr 2018 (13),Tottenham Hotspur FC,1,3,1,1,,Chelsea FC,Chelsea FC,Tottenham Hotspur FC,Chelsea FC  Vs. Tottenham Hotspur FC
32,(Sat) 7 Apr 2018 (14),Crystal Palace FC,2,2,0,0,,AFC Bournemouth,AFC Bournemouth,Crystal Palace FC,AFC Bournemouth  Vs. Crystal Palace FC
32,(Sat) 7 Apr 2018 (14),Huddersfield Town AFC,1,1,1,1,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Huddersfield Town AFC,Brighton & Hove Albion FC  Vs. Huddersfield Town AFC
32,(Sat) 7 Apr 2018 (14),Liverpool FC,0,0,0,0,,Everton FC,Everton FC,Liverpool FC,Everton FC  Vs. Liverpool FC
32,(Sat) 7 Apr 2018 (14),Newcastle United FC,1,2,0,1,,Leicester City FC,Leicester City FC,Newcastle United FC,Leicester City FC  Vs. Newcastle United FC
32,(Sat) 7 Apr 2018 (14),Manchester United FC,2,3,2,0,,Manchester City FC,Manchester City FC,Manchester United FC,Manchester City FC  Vs. Manchester United FC
32,(Sat) 7 Apr 2018 (14),Tottenham Hotspur FC,1,2,0,0,,Stoke City FC,Stoke City FC,Tottenham Hotspur FC,Stoke City FC  Vs. Tottenham Hotspur FC
32,(Sat) 7 Apr 2018 (14),Burnley FC,1,2,0,0,,Watford FC,Watford FC,Burnley FC,Watford FC  Vs. Burnley FC
32,(Sat) 7 Apr 2018 (14),Swansea City AFC,1,1,0,0,,West Bromwich Albion FC,West Bromwich Albion FC,Swansea City AFC,West Bromwich Albion FC  Vs. Swansea City AFC
32,(Sun) 8 Apr 2018 (14),Southampton FC,3,2,2,1,,Arsenal FC,Arsenal FC,Southampton FC,Arsenal FC  Vs. Southampton FC
32,(Sun) 8 Apr 2018 (14),West Ham United FC,1,1,1,0,,Chelsea FC,Chelsea FC,West Ham United FC,Chelsea FC  Vs. West Ham United FC
33,(Sat) 14 Apr 2018 (15),Leicester City FC,2,1,2,0,,Burnley FC,Burnley FC,Leicester City FC,Burnley FC  Vs. Leicester City FC
33,(Sat) 14 Apr 2018 (15),Brighton & Hove Albion FC,3,2,3,2,,Crystal Palace FC,Crystal Palace FC,Brighton & Hove Albion FC,Crystal Palace FC  Vs. Brighton & Hove Albion FC
33,(Sat) 14 Apr 2018 (15),Watford FC,1,0,0,0,,Huddersfield Town AFC,Huddersfield Town AFC,Watford FC,Huddersfield Town AFC  Vs. Watford FC
33,(Sat) 14 Apr 2018 (15),AFC Bournemouth,3,0,1,0,,Liverpool FC,Liverpool FC,AFC Bournemouth,Liverpool FC  Vs. AFC Bournemouth
33,(Sat) 14 Apr 2018 (15),Chelsea FC,2,3,1,0,,Southampton FC,Southampton FC,Chelsea FC,Southampton FC  Vs. Chelsea FC
33,(Sat) 14 Apr 2018 (15),Everton FC,1,1,0,1,,Swansea City AFC,Swansea City AFC,Everton FC,Swansea City AFC  Vs. Everton FC
33,(Sat) 14 Apr 2018 (15),Manchester City FC,1,3,1,2,,Tottenham Hotspur FC,Tottenham Hotspur FC,Manchester City FC,Tottenham Hotspur FC  Vs. Manchester City FC
33,(Sun) 15 Apr 2018 (15),West Bromwich Albion FC,0,1,0,0,,Manchester United FC,Manchester United FC,West Bromwich Albion FC,Manchester United FC  Vs. West Bromwich Albion FC
33,(Sun) 15 Apr 2018 (15),Arsenal FC,2,1,1,1,,Newcastle United FC,Newcastle United FC,Arsenal FC,Newcastle United FC  Vs. Arsenal FC
33,(Mon) 16 Apr 2018 (16),Stoke City FC,1,1,0,0,,West Ham United FC,West Ham United FC,Stoke City FC,West Ham United FC  Vs. Stoke City FC
34,(Tue) 17 Apr 2018 (16),Tottenham Hotspur FC,1,1,0,0,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Tottenham Hotspur FC,Brighton & Hove Albion FC  Vs. Tottenham Hotspur FC
34,(Wed) 18 Apr 2018 (16),Manchester United FC,0,2,0,1,,AFC Bournemouth,AFC Bournemouth,Manchester United FC,AFC Bournemouth  Vs. Manchester United FC
34,(Thu) 19 Apr 2018 (16),Chelsea FC,1,2,0,1,,Burnley FC,Burnley FC,Chelsea FC,Burnley FC  Vs. Chelsea FC
34,(Thu) 19 Apr 2018 (16),Southampton FC,0,0,0,0,,Leicester City FC,Leicester City FC,Southampton FC,Leicester City FC  Vs. Southampton FC
34,(Sat) 21 Apr 2018 (16),Crystal Palace FC,0,0,0,0,,Watford FC,Watford FC,Crystal Palace FC,Watford FC  Vs. Crystal Palace FC
34,(Sat) 21 Apr 2018 (16),Liverpool FC,2,2,0,1,,West Bromwich Albion FC,West Bromwich Albion FC,Liverpool FC,West Bromwich Albion FC  Vs. Liverpool FC
34,(Sun) 22 Apr 2018 (16),West Ham United FC,4,1,0,0,,Arsenal FC,Arsenal FC,West Ham United FC,Arsenal FC  Vs. West Ham United FC
34,(Sun) 22 Apr 2018 (16),Swansea City AFC,5,0,2,0,,Manchester City FC,Manchester City FC,Swansea City AFC,Manchester City FC  Vs. Swansea City AFC
34,(Sun) 22 Apr 2018 (16),Burnley FC,1,1,1,0,,Stoke City FC,Stoke City FC,Burnley FC,Stoke City FC  Vs. Burnley FC
34,(Mon) 23 Apr 2018 (17),Newcastle United FC,1,0,0,0,,Everton FC,Everton FC,Newcastle United FC,Everton FC  Vs. Newcastle United FC
35,(Sat) 28 Apr 2018 (17),Brighton & Hove Albion FC,0,0,0,0,,Burnley FC,Burnley FC,Brighton & Hove Albion FC,Burnley FC  Vs. Brighton & Hove Albion FC
35,(Sat) 28 Apr 2018 (17),Leicester City FC,5,0,2,0,,Crystal Palace FC,Crystal Palace FC,Leicester City FC,Crystal Palace FC  Vs. Leicester City FC
35,(Sat) 28 Apr 2018 (17),Everton FC,0,2,0,1,,Huddersfield Town AFC,Huddersfield Town AFC,Everton FC,Huddersfield Town AFC  Vs. Everton FC
35,(Sat) 28 Apr 2018 (17),Stoke City FC,0,0,0,0,,Liverpool FC,Liverpool FC,Stoke City FC,Liverpool FC  Vs. Stoke City FC
35,(Sat) 28 Apr 2018 (17),West Bromwich Albion FC,0,1,0,1,,Newcastle United FC,Newcastle United FC,West Bromwich Albion FC,Newcastle United FC  Vs. West Bromwich Albion FC
35,(Sat) 28 Apr 2018 (17),AFC Bournemouth,2,1,1,1,,Southampton FC,Southampton FC,AFC Bournemouth,Southampton FC  Vs. AFC Bournemouth
35,(Sat) 28 Apr 2018 (17),Chelsea FC,0,1,0,1,,Swansea City AFC,Swansea City AFC,Chelsea FC,Swansea City AFC  Vs. Chelsea FC
35,(Sun) 29 Apr 2018 (17),Arsenal FC,2,1,1,0,,Manchester United FC,Manchester United FC,Arsenal FC,Manchester United FC  Vs. Arsenal FC
35,(Sun) 29 Apr 2018 (17),Manchester City FC,1,4,1,2,,West Ham United FC,West Ham United FC,Manchester City FC,West Ham United FC  Vs. Manchester City FC
35,(Mon) 30 Apr 2018 (18),Watford FC,2,0,1,0,,Tottenham Hotspur FC,Tottenham Hotspur FC,Watford FC,Tottenham Hotspur FC  Vs. Watford FC
36,(Fri) 4 May 2018 (18),Manchester United FC,1,0,0,0,,Brighton & Hove Albion FC,Brighton & Hove Albion FC,Manchester United FC,Brighton & Hove Albion FC  Vs. Manchester United FC
36,(Sat) 5 May 2018 (18),Swansea City AFC,1,0,1,0,,AFC Bournemouth,AFC Bournemouth,Swansea City AFC,AFC Bournemouth  Vs. Swansea City AFC
36,(Sat) 5 May 2018 (18),Southampton FC,0,1,0,0,,Everton FC,Everton FC,Southampton FC,Everton FC  Vs. Southampton FC
36,(Sat) 5 May 2018 (18),West Ham United FC,0,2,0,1,,Leicester City FC,Leicester City FC,West Ham United FC,Leicester City FC  Vs. West Ham United FC
36,(Sat) 5 May 2018 (18),Crystal Palace FC,1,2,1,0,,Stoke City FC,Stoke City FC,Crystal Palace FC,Stoke City FC  Vs. Crystal Palace FC
36,(Sat) 5 May 2018 (18),Newcastle United FC,2,1,2,0,,Watford FC,Watford FC,Newcastle United FC,Watford FC  Vs. Newcastle United FC
36,(Sat) 5 May 2018 (18),Tottenham Hotspur FC,1,0,0,0,,West Bromwich Albion FC,West Bromwich Albion FC,Tottenham Hotspur FC,West Bromwich Albion FC  Vs. Tottenham Hotspur FC
36,(Sun) 6 May 2018 (18),Burnley FC,5,0,2,0,,Arsenal FC,Arsenal FC,Burnley FC,Arsenal FC  Vs. Burnley FC
36,(Sun) 6 May 2018 (18),Liverpool FC,1,0,1,0,,Chelsea FC,Chelsea FC,Liverpool FC,Chelsea FC  Vs. Liverpool FC
36,(Sun) 6 May 2018 (18),Huddersfield Town AFC,0,0,0,0,,Manchester City FC,Manchester City FC,Huddersfield Town AFC,Manchester City FC  Vs. Huddersfield Town AFC
37,(Tue) 8 May 2018 (19),Southampton FC,0,1,0,0,,Swansea City AFC,Swansea City AFC,Southampton FC,Swansea City AFC  Vs. Southampton FC
37,(Wed) 9 May 2018 (19),Huddersfield Town AFC,1,1,0,0,,Chelsea FC,Chelsea FC,Huddersfield Town AFC,Chelsea FC  Vs. Huddersfield Town AFC
37,(Wed) 9 May 2018 (19),Arsenal FC,3,1,1,0,,Leicester City FC,Leicester City FC,Arsenal FC,Leicester City FC  Vs. Arsenal FC
37,(Wed) 9 May 2018 (19),Brighton & Hove Albion FC,3,1,2,1,,Manchester City FC,Manchester City FC,Brighton & Hove Albion FC,Manchester City FC  Vs. Brighton & Hove Albion FC
37,(Wed) 9 May 2018 (19),Newcastle United FC,1,0,0,0,,Tottenham Hotspur FC,Tottenham Hotspur FC,Newcastle United FC,Tottenham Hotspur FC  Vs. Newcastle United FC
37,(Thu) 10 May 2018 (19),Manchester United FC,0,0,0,0,,West Ham United FC,West Ham United FC,Manchester United FC,West Ham United FC  Vs. Manchester United FC
38,(Sun) 13 May 2018 (19),AFC Bournemouth,1,2,1,0,,Burnley FC,Burnley FC,AFC Bournemouth,Burnley FC  Vs. AFC Bournemouth
38,(Sun) 13 May 2018 (19),West Bromwich Albion FC,2,0,0,0,,Crystal Palace FC,Crystal Palace FC,West Bromwich Albion FC,Crystal Palace FC  Vs. West Bromwich Albion FC
38,(Sun) 13 May 2018 (19),Arsenal FC,0,1,0,1,,Huddersfield Town AFC,Huddersfield Town AFC,Arsenal FC,Huddersfield Town AFC  Vs. Arsenal FC
38,(Sun) 13 May 2018 (19),Brighton & Hove Albion FC,4,0,2,0,,Liverpool FC,Liverpool FC,Brighton & Hove Albion FC,Liverpool FC  Vs. Brighton & Hove Albion FC
38,(Sun) 13 May 2018 (19),Watford FC,1,0,1,0,,Manchester United FC,Manchester United FC,Watford FC,Manchester United FC  Vs. Watford FC
38,(Sun) 13 May 2018 (19),Chelsea FC,3,0,1,0,,Newcastle United FC,Newcastle United FC,Chelsea FC,Newcastle United FC  Vs. Chelsea FC
38,(Sun) 13 May 2018 (19),Manchester City FC,0,1,0,0,,Southampton FC,Southampton FC,Manchester City FC,Southampton FC  Vs. Manchester City FC
38,(Sun) 13 May 2018 (19),Stoke City FC,11,2,1,2,,Swansea City AFC,Swansea City AFC,Stoke City FC,Swansea City AFC  Vs. Stoke City FC
38,(Sun) 13 May 2018 (19),Leicester City FC,5,4,1,2,,Tottenham Hotspur FC,Tottenham Hotspur FC,Leicester City FC,Tottenham Hotspur FC  Vs. Leicester City FC
38,(Sun) 13 May 2018 (19),Everton FC,3,1,1,0,,West Ham United FC,West Ham United FC,Everton FC,West Ham United FC  Vs. Everton FC
